Station_Number,Station_Name,Longitude,Latitude,wateroffice,link
01AD002,Saint John River at Fort Kent,-68.59583,47.25806,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Saint John River at Fort Kent
01AD003,St. Francis River at outlet of Glasier Lake,-68.95694,47.20661,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=St. Francis River at outlet of Glasier Lake
01AE001,Fish River near Fort Kent,-68.58278,47.2375,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Fish River near Fort Kent
01AQ001,Lepreau River at Lepreau,-66.46828,45.16978,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Lepreau River at Lepreau
01AQ002,Magaguadavic River at Elmcroft,-66.80667,45.27333,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Magaguadavic River at Elmcroft
01AR004,St. Croix River at Vanceboro,-67.42972,45.56889,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=St. Croix River at Vanceboro
01AR005,St. Croix River at Baring,-67.31806,45.13667,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=St. Croix River at Baring
01AR011,Forest City Stream below Forest City Dam,-67.73356,45.66417,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Forest City Stream below Forest City Dam
01BG005,Cascapedia (Riviere) en aval du Ruisseau Berry,-66.16806,48.62833,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Cascapedia (Riviere) en aval du Ruisseau Berry
01BG009,Bonaventure (Riviere) en amont du Ruisseau Creux,-65.55861,48.18611,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Bonaventure (Riviere) en amont du Ruisseau Creux
01DG003,Beaverbank River near Kinsac,-63.66389,44.85111,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Beaverbank River near Kinsac
01DL001,Kelley River (Mill Creek) at Eight Mile Ford,-64.45069,45.58681,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Kelley River (Mill Creek) at Eight Mile Ford
01EC001,Roseway River at Lower Ohio,-65.36911,43.83736,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Roseway River at Lower Ohio
01EO001,St. Marys River at Stillwater,-61.97992,45.17439,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=St. Marys River at Stillwater
01FB001,Northeast Margaree River at Margaree Valley,-60.97528,46.36897,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Northeast Margaree River at Margaree Valley
01FC002,Cheticamp River above Robert Brook,-60.94611,46.64158,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Cheticamp River above Robert Brook
02AB006,Kaministiquia River at Kaministiquia,-89.59636,48.53231,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Kaministiquia River at Kaministiquia
02AB008,Neebing River near Thunder Bay,-89.30656,48.38339,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Neebing River near Thunder Bay
02AB017,Whitefish River at Nolalu,-89.80986,48.29211,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Whitefish River at Nolalu
02AC001,Wolf River at Highway No. 17,-88.53461,48.82169,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Wolf River at Highway No. 17
02AC002,Black Sturgeon River at Highway No. 17,-88.37686,48.90422,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Black Sturgeon River at Highway No. 17
02AD010,Blackwater River at Beardmore,-87.96544,49.59761,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Blackwater River at Beardmore
02BA003,Little Pic River near Coldwell,-86.60722,48.84911,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Little Pic River near Coldwell
02BB003,Pic River near Marathon,-86.29661,48.77408,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Pic River near Marathon
02BB004,Cedar Creek near Hemlo,-85.90942,48.70633,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Cedar Creek near Hemlo
02BC004,White River below White Lake,-85.74153,48.6548,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=White River below White Lake
02BD002,Michipicoten River at Scott Falls,-84.74333,47.91083,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Michipicoten River at Scott Falls
02BE002,Montreal River near Montreal River Harbour,-84.61944,47.21389,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Montreal River near Montreal River Harbour
02BF001,Batchawana River near Batchawana,-84.51556,47.00353,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Batchawana River near Batchawana
02BF002,Goulais River near Searchmont,-83.97181,46.86094,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Goulais River near Searchmont
02BF004,Big Carp River near Sault Ste. Marie,-84.46518,46.51589,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Big Carp River near Sault Ste. Marie
02BF005,Norberg Creek (Site A) above Batchawana River,-84.43072,47.06253,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Norberg Creek (Site A) above Batchawana River
02BF006,Norberg Creek (Site B) at outlet of Turkey Lake,-84.41278,47.05053,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Norberg Creek (Site B) at outlet of Turkey Lake
02BF007,Norberg Creek (Site C) at outlet of Little Turkey Lake,-84.41025,47.04472,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Norberg Creek (Site C) at outlet of Little Turkey Lake
02BF008,Norberg Creek (Site D) below Wishart Lake,-84.40319,47.04625,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Norberg Creek (Site D) below Wishart Lake
02BF009,Norberg Creek (Site E) below Batchawana Lake,-84.4,47.05778,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Norberg Creek (Site E) below Batchawana Lake
02BF012,Norberg Creek (Site F) at outlet of Batchawana Lake,-84.39253,47.06281,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Norberg Creek (Site F) at outlet of Batchawana Lake
02CA002,Root River at Sault Ste. Marie,-84.28169,46.56286,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Root River at Sault Ste. Marie
02CB003,Aubinadong River above Sesabic Creek,-83.41686,46.96842,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Aubinadong River above Sesabic Creek
02CC005,Little White River near Bellingham,-83.28308,46.39397,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Little White River near Bellingham
02CC010,Little White River below Boland River,-82.968,46.58114,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Little White River below Boland River
02CD001,Serpent River at Highway No. 17,-82.51242,46.21078,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Serpent River at Highway No. 17
02CD006,Serpent River above Quirke Lake,-82.60069,46.51122,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Serpent River above Quirke Lake
02CE002,Aux Sables River at Massey,-82.07081,46.21494,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Aux Sables River at Massey
02CF007,Whitson River at Chelmsford,-81.19919,46.58303,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Whitson River at Chelmsford
02CF008,Whitson River at Val Caron,-81.03297,46.61017,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Whitson River at Val Caron
02CF010,Onaping River near Levack,-81.38197,46.5995,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Onaping River near Levack
02CF012,Junction Creek below Kelley Lake,-81.09844,46.42731,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Junction Creek below Kelley Lake
02CF013,Moose Creek at Levack,-81.39147,46.63594,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Moose Creek at Levack
02DB005,Wanapitei River near Wanup,-80.83956,46.34567,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Wanapitei River near Wanup
02DB007,Coniston Creek above Wanapitei River,-80.82153,46.47528,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Coniston Creek above Wanapitei River
02DC004,Sturgeon River near Glen Afton,-80.26325,46.63717,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Sturgeon River near Glen Afton
02DC012,Sturgeon River at Upper Goose Falls,-80.46325,46.97142,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Sturgeon River at Upper Goose Falls
02DD010,French River at Dry Pine Bay,-80.61164,46.06858,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=French River at Dry Pine Bay
02DD014,Chippewa Creek at North Bay,-79.44836,46.31178,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Chippewa Creek at North Bay
02DD015,Commanda Creek near Commanda,-79.60675,45.94917,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Commanda Creek near Commanda
02EA005,North Magnetawan River near Burk's Falls,-79.37919,45.66947,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=North Magnetawan River near Burk's Falls
02EA010,North Magnetawan River above Pickerel Lake,-79.30879,45.70377,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=North Magnetawan River above Pickerel Lake
02EA011,Magnetawan River near Britt,-80.48233,45.77306,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Magnetawan River near Britt
02EB004,North Branch Muskoka River at Port Sydney,-79.27528,45.21286,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=North Branch Muskoka River at Port Sydney
02EB011,Moon River at Highway No. 400,-79.79014,45.06506,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Moon River at Highway No. 400
02EB012,Musquash River at Highway No. 400,-79.77681,45.02253,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Musquash River at Highway No. 400
02EB013,East River near Huntsville,-79.15994,45.39272,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=East River near Huntsville
02EB014,Oxtongue River near Dwight,-78.98939,45.31197,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Oxtongue River near Dwight
02EC002,Black River near Washago,-79.28161,44.71367,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Black River near Washago
02EC003,Severn River at Swift Rapids,-79.54167,44.85694,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Severn River at Swift Rapids
02EC009,Holland River at Holland Landing,-79.48956,44.09492,https://wateroffice.ec.gc.ca/report/real_time_e.html?stn=Holland River at Holland Landing
